"Category","Status","Check","Weight","Detail","Fix","URL","Total Score","SEO","AEO","GEO","Content Type"
"SEO","PASS","Title length","10","Current title length: 49 characters.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Meta description","10","Current meta description length: 138 characters.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","HTTPS URL","5","Current protocol: http:","Use HTTPS for the page URL.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","Readable URL slug","5","Path: /beginner-bodyweight-workout-at-home.html","Use a short, readable URL with words separated by hyphens.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","One clear H1","8","H1 count: 1.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Title and H1 alignment","6","Title and H1 checked. H1: Beginner Bodyweight Workout at Home: No Equipment Needed.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Main topic placement","12","No main topic entered, so this check is skipped as passed.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Enough content depth","10","Word count: 813. Target for page: 300+ words.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Useful heading structure","8","H2 count: 7. Heading order: good.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Scannable paragraphs","6","Average paragraph: 35 words. Long paragraphs: 0.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Internal links","8","Unique content internal links found: 2.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","External/source links","6","Unique content external links found: 0.","Add at least 1 credible external source when making factual claims.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Descriptive anchor text","5","Descriptive anchors: 2/2.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Image alt text","8","Images with alt text: 1/1.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Image dimensions","4","Images with dimensions: 1/1.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","Canonical URL","6","Canonical tag found. Self canonical: no.","Add a canonical tag that points to the preferred version of this page.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Indexable page","6","No noindex robots meta found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Mobile viewport","5","Viewport: width=device-width, initial-scale=1.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","PASS","Language attribute","4","HTML lang: en.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","Social preview metadata","4","OG title: yes. OG description: yes. OG image: no.","Add Open Graph title, description, and image metadata for better sharing previews.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","Breadcrumb schema","4","No BreadcrumbList schema found.","Add BreadcrumbList schema when the page belongs in a clear site hierarchy.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"SEO","FIX","Page schema","8","Schema found: FAQPage, Question, Answer.","Add WebPage schema, or Article/BlogPosting schema when this page is editorial content.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Question-style headings","16","Question headings found: 5.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Answers after questions","14","Answered question headings: 5/5.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","FIX","Direct answer signals","16","No strong direct-answer wording found.","Add a short answer or summary immediately after important question headings.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","FIX","Top summary answer","12","No short-answer signal found in the opening section.","Add a short summary, key takeaway, or bottom-line answer near the top of the page.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Definition support","8","Definition-style wording found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","FAQ section","14","FAQ schema found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Lists or steps","14","Lists found: 3.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Conversational query coverage","12","Conversational query phrasing found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","FIX","Key takeaway or summary","12","No key takeaway signal found.","Add a short summary or key takeaway near the top.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Structured answer support","10","Tables: 0. Lists: 3.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Comparison or decision support","8","Comparison or decision wording found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","Audience and use-case clarity","8","Audience or use-case wording found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"AEO","PASS","FAQ or HowTo schema","12","FAQ/HowTo schema found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Entity clarity","14","Weak entity signal.","Clearly mention the product, brand, category, use case, audience, and industry context.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","PASS","Audience and use-case clarity","10","Audience/use-case wording found.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Ownership signal","12","No clear author or ownership signal found.","Show the company, organization, author, or reviewer behind this page.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Freshness or page schema","10","No date or WebPage schema signal found.","Add WebPage schema, or show a last updated date when the page covers time-sensitive information.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Original experience","16","No strong original-experience signal found.","Add examples, screenshots, templates, first-hand testing, or real data.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Proof and examples","12","Weak proof/example signal.","Add examples, screenshots, customer proof, benchmarks, templates, or case-study evidence.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Data and statistics","10","No strong data/statistics signal found.","Add current data, statistics, benchmark results, dates, or cited research where claims need support.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Credible citations","14","Unique content external links: 0. Source wording: no.","Cite credible sources, studies, reports, or official documentation.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Organization identity schema","10","No Person or Organization schema found.","Add Organization, Person, author, publisher, or reviewedBy schema so AI systems can attribute the page.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Entity disambiguation","8","sameAs schema: no. Product/service schema: no.","Use sameAs, Organization, Product, Service, or SoftwareApplication schema to disambiguate important entities.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Page / organization schema","12","Schema found: FAQPage, Question, Answer.","Use WebPage schema and connect it to organization, publisher, or author data.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","FIX","Clear summary for AI extraction","12","No summary signal found.","Add a concise top summary that states the main answer and who it is for.","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
"GEO","PASS","Depth and topical coverage","10","Word count: 813. H2 count: 7.","","http://127.0.0.1:5500/beginner-bodyweight-workout-at-home.html#routine","54","74","74","13","Page"
